er. 4 7 real time data, piątek, 28 sierpień 2026 06:30:39
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
24421	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
24671	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
24890	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
25078	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
25281	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
25640	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
25937	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
26187	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
26468	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
26687	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
26875	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
27125	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
27406	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
27671	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
27906	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
28140	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
28390	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
28578	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
28765	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
29000	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
29234	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
29484	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
29781	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
30031	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
30234	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
30531	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
30796	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
31031	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
31234	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
31453	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
31718	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
31921	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
32156	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
32375	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
32625	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
32812	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
33015	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
33218	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
33453	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
33687	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
33875	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
34062	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
34265	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
34515	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
34734	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
35000	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
35203	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
35390	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
35593	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
35812	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
36015	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
36203	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
36406	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
36671	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
36906	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
37125	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
37328	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
37515	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
37765	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
37984	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
38218	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
38406	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
38656	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
38875	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
39156	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
39562	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
39765	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
39968	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
40187	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
40484	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
40687	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
40937	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
41187	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
41375	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
41562	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
41812	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
42015	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
42250	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
42437	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
42640	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
42843	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
43062	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
43296	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
43484	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
43687	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
43968	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
44156	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
44437	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
44671	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
44890	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
45093	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
45296	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
45515	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
45734	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
45968	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
46156	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
46343	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
46578	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
46796	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
