Ver. 4 7 real time data, pi¹tek, 28 sierpieñ 2026 06:49:29
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
16609	809	0.410000	0.000000	4.730000	0.590000	0.430000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
16828	797	0.410000	0.000000	4.840000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
17047	810	0.410000	0.000000	4.770000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
17265	805	0.410000	0.000000	4.790000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
17469	810	0.410000	0.000000	4.720000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
17672	814	0.410000	0.000000	4.640000	0.600000	0.420000	73.000000	16.000000	123	0.000000	0.000000	0.000000	0	0	0	
17875	796	0.410000	0.000000	4.730000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
18109	805	0.410000	0.000000	4.680000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
18328	793	0.410000	0.000000	4.780000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
18547	805	0.410000	0.000000	4.660000	0.590000	0.430000	73.000000	16.000000	123	0.000000	0.000000	0.000000	0	0	0	
18765	810	0.410000	0.000000	4.750000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
19031	808	0.410000	0.000000	4.680000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
19234	792	0.410000	0.000000	4.680000	0.610000	0.410000	73.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
19453	811	0.410000	0.000000	4.780000	0.600000	0.410000	73.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
19672	790	0.410000	0.000000	4.760000	0.610000	0.410000	73.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
19890	797	0.410000	0.000000	4.740000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
20125	794	0.410000	0.000000	4.710000	0.600000	0.420000	73.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
20344	814	0.410000	0.000000	4.770000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
20672	810	0.410000	0.000000	4.710000	0.600000	0.420000	74.000000	17.000000	123	0.000000	0.000000	0.000000	0	0	0	
20859	792	0.410000	0.000000	4.640000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
21078	802	0.410000	0.000000	4.660000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
21312	795	0.410000	0.000000	4.650000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
21547	794	0.410000	0.000000	4.640000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
21750	791	0.410000	0.000000	4.720000	0.590000	0.430000	74.000000	17.000000	123	0.000000	0.000000	0.000000	0	0	0	
21984	801	0.410000	0.000000	4.660000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
22203	802	0.410000	0.000000	4.720000	0.590000	0.430000	74.000000	17.000000	123	0.000000	0.000000	0.000000	0	0	0	
22422	802	0.410000	0.000000	4.650000	0.620000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
22625	792	0.410000	0.000000	4.860000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
22844	793	0.410000	0.000000	4.670000	0.600000	0.430000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
23078	792	0.410000	0.000000	4.780000	0.600000	0.430000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
23312	801	0.410000	0.000000	4.700000	0.600000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
23515	806	0.410000	0.000000	4.680000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
23750	799	0.410000	0.000000	4.730000	0.600000	0.420000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
23969	812	0.410000	0.000000	4.690000	0.590000	0.420000	74.000000	17.000000	123	0.000000	0.000000	0.000000	0	0	0	
24187	803	0.410000	0.000000	4.730000	0.610000	0.410000	74.000000	17.000000	124	0.000000	0.000000	0.000000	0	0	0	
