Ver. 4 7 real time data, pi¹tek, 11 wrzesieñ 2026 16:31:45
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
17390	1115	0.220000	9.390000	7.010000	1.060000	0.550000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
17625	1134	0.220000	9.590000	7.160000	1.060000	0.560000	80.000000	48.000000	12	0.000000	0.000000	0.000000	0	0	0	
17859	1159	0.200000	9.690000	7.270000	1.070000	0.560000	80.000000	48.000000	12	0.000000	0.000000	0.000000	0	0	0	
18187	1188	0.200000	11.180000	8.670000	1.050000	0.610000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
18406	1227	0.200000	10.870000	8.290000	1.070000	0.610000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
18625	1265	0.200000	2.320000	0.820000	1.050000	0.670000	80.000000	48.000000	56	0.000000	0.000000	0.000000	0	0	0	
18843	1312	0.200000	11.130000	8.690000	1.050000	0.670000	80.000000	48.000000	70	0.000000	0.000000	0.000000	0	0	0	
19062	1357	0.200000	11.220000	8.610000	1.060000	0.650000	80.000000	48.000000	70	0.000000	0.000000	0.000000	0	0	0	
19297	1403	0.200000	11.060000	8.440000	1.050000	0.640000	80.000000	48.000000	53	0.000000	0.000000	0.000000	0	0	0	
19562	1457	0.200000	10.570000	7.940000	1.040000	0.630000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
19797	1505	0.200000	10.700000	8.110000	1.060000	0.610000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
20047	1562	0.200000	10.490000	7.800000	1.040000	0.600000	78.000000	48.000000	11	0.000000	0.000000	0.000000	0	0	0	
20250	1584	0.200000	10.030000	7.400000	1.040000	0.560000	78.000000	48.000000	12	0.000000	0.000000	0.000000	0	0	0	
20468	1614	0.200000	9.590000	7.090000	1.050000	0.550000	78.000000	48.000000	12	0.000000	0.000000	0.000000	0	0	0	
